,Nom_Districte,Nom_Barri,Valor,NACIONALITAT_CONTINENT,EDAT_Q,SEXE
0,Ciutat Vella,el Raval,46,Africa,<5 years,Female
1,Ciutat Vella,el Raval,49,Africa,<5 years,Male
2,Ciutat Vella,el Raval,30,Africa,5-9 years,Female
3,Ciutat Vella,el Raval,34,Africa,5-9 years,Male
4,Ciutat Vella,el Raval,14,Africa,10-14 years,Female
5,Ciutat Vella,el Raval,23,Africa,10-14 years,Male
6,Ciutat Vella,el Raval,19,Africa,15-19 years,Female
7,Ciutat Vella,el Raval,58,Africa,15-19 years,Male
8,Ciutat Vella,el Raval,82,Africa,20-24 years,Female
9,Ciutat Vella,el Raval,152,Africa,20-24 years,Male
10,Ciutat Vella,el Raval,79,Africa,25-29 years,Female
11,Ciutat Vella,el Raval,185,Africa,25-29 years,Male
12,Ciutat Vella,el Raval,74,Africa,30-34 years,Female
13,Ciutat Vella,el Raval,167,Africa,30-34 years,Male
14,Ciutat Vella,el Raval,92,Africa,35-39 years,Female
15,Ciutat Vella,el Raval,147,Africa,35-39 years,Male
16,Ciutat Vella,el Raval,56,Africa,40-44 years,Female
17,Ciutat Vella,el Raval,140,Africa,40-44 years,Male
18,Ciutat Vella,el Raval,64,Africa,45-49 years,Female
19,Ciutat Vella,el Raval,114,Africa,45-49 years,Male
20,Ciutat Vella,el Raval,49,Africa,50-54 years,Female
21,Ciutat Vella,el Raval,85,Africa,50-54 years,Male
22,Ciutat Vella,el Raval,40,Africa,55-59 years,Female
23,Ciutat Vella,el Raval,51,Africa,55-59 years,Male
24,Ciutat Vella,el Raval,23,Africa,60-64 years,Female
25,Ciutat Vella,el Raval,30,Africa,60-64 years,Male
26,Ciutat Vella,el Raval,14,Africa,65-69 years,Female
27,Ciutat Vella,el Raval,25,Africa,65-69 years,Male
28,Ciutat Vella,el Raval,11,Africa,70-74 years,Female
29,Ciutat Vella,el Raval,18,Africa,70-74 years,Male
30,Ciutat Vella,el Raval,10,Africa,75-79 years,Female
31,Ciutat Vella,el Raval,..,Africa,75-79 years,Male
32,Ciutat Vella,el Raval,9,Africa,80-84 years,Female
33,Ciutat Vella,el Raval,..,Africa,80-84 years,Male
34,Ciutat Vella,el Raval,..,Africa,85-89 years,Female
35,Ciutat Vella,el Raval,48,Americas,<5 years,Female
36,Ciutat Vella,el Raval,43,Americas,<5 years,Male
37,Ciutat Vella,el Raval,52,Americas,5-9 years,Female
38,Ciutat Vella,el Raval,60,Americas,5-9 years,Male
39,Ciutat Vella,el Raval,49,Americas,10-14 years,Female
40,Ciutat Vella,el Raval,46,Americas,10-14 years,Male
41,Ciutat Vella,el Raval,60,Americas,15-19 years,Female
42,Ciutat Vella,el Raval,51,Americas,15-19 years,Male
43,Ciutat Vella,el Raval,165,Americas,20-24 years,Female
44,Ciutat Vella,el Raval,128,Americas,20-24 years,Male
45,Ciutat Vella,el Raval,418,Americas,25-29 years,Female
46,Ciutat Vella,el Raval,345,Americas,25-29 years,Male
47,Ciutat Vella,el Raval,376,Americas,30-34 years,Female
48,Ciutat Vella,el Raval,448,Americas,30-34 years,Male
49,Ciutat Vella,el Raval,269,Americas,35-39 years,Female
50,Ciutat Vella,el Raval,301,Americas,35-39 years,Male
51,Ciutat Vella,el Raval,162,Americas,40-44 years,Female
52,Ciutat Vella,el Raval,182,Americas,40-44 years,Male
53,Ciutat Vella,el Raval,114,Americas,45-49 years,Female
54,Ciutat Vella,el Raval,124,Americas,45-49 years,Male
55,Ciutat Vella,el Raval,78,Americas,50-54 years,Female
56,Ciutat Vella,el Raval,98,Americas,50-54 years,Male
57,Ciutat Vella,el Raval,66,Americas,55-59 years,Female
58,Ciutat Vella,el Raval,51,Americas,55-59 years,Male
59,Ciutat Vella,el Raval,48,Americas,60-64 years,Female
60,Ciutat Vella,el Raval,37,Americas,60-64 years,Male
61,Ciutat Vella,el Raval,31,Americas,65-69 years,Female
62,Ciutat Vella,el Raval,32,Americas,65-69 years,Male
63,Ciutat Vella,el Raval,17,Americas,70-74 years,Female
64,Ciutat Vella,el Raval,7,Americas,70-74 years,Male
65,Ciutat Vella,el Raval,5,Americas,75-79 years,Female
66,Ciutat Vella,el Raval,8,Americas,75-79 years,Male
67,Ciutat Vella,el Raval,10,Americas,80-84 years,Female
68,Ciutat Vella,el Raval,5,Americas,80-84 years,Male
69,Ciutat Vella,el Raval,..,Americas,85-89 years,Female
70,Ciutat Vella,el Raval,..,Americas,85-89 years,Male
71,Ciutat Vella,el Raval,..,Americas,90-94 years,Female
72,Ciutat Vella,el Raval,..,Americas,95-99 years,Male
73,Ciutat Vella,el Raval,392,Asia,<5 years,Female
74,Ciutat Vella,el Raval,437,Asia,<5 years,Male
75,Ciutat Vella,el Raval,211,Asia,5-9 years,Female
76,Ciutat Vella,el Raval,271,Asia,5-9 years,Male
77,Ciutat Vella,el Raval,222,Asia,10-14 years,Female
78,Ciutat Vella,el Raval,220,Asia,10-14 years,Male
79,Ciutat Vella,el Raval,195,Asia,15-19 years,Female
80,Ciutat Vella,el Raval,271,Asia,15-19 years,Male
81,Ciutat Vella,el Raval,326,Asia,20-24 years,Female
82,Ciutat Vella,el Raval,505,Asia,20-24 years,Male
83,Ciutat Vella,el Raval,596,Asia,25-29 years,Female
84,Ciutat Vella,el Raval,691,Asia,25-29 years,Male
85,Ciutat Vella,el Raval,667,Asia,30-34 years,Female
86,Ciutat Vella,el Raval,844,Asia,30-34 years,Male
87,Ciutat Vella,el Raval,616,Asia,35-39 years,Female
88,Ciutat Vella,el Raval,764,Asia,35-39 years,Male
89,Ciutat Vella,el Raval,546,Asia,40-44 years,Female
90,Ciutat Vella,el Raval,821,Asia,40-44 years,Male
91,Ciutat Vella,el Raval,401,Asia,45-49 years,Female
92,Ciutat Vella,el Raval,628,Asia,45-49 years,Male
93,Ciutat Vella,el Raval,308,Asia,50-54 years,Female
94,Ciutat Vella,el Raval,449,Asia,50-54 years,Male
95,Ciutat Vella,el Raval,246,Asia,55-59 years,Female
96,Ciutat Vella,el Raval,303,Asia,55-59 years,Male
97,Ciutat Vella,el Raval,147,Asia,60-64 years,Female
98,Ciutat Vella,el Raval,164,Asia,60-64 years,Male
99,Ciutat Vella,el Raval,89,Asia,65-69 years,Female
100,Ciutat Vella,el Raval,98,Asia,65-69 years,Male
101,Ciutat Vella,el Raval,47,Asia,70-74 years,Female
102,Ciutat Vella,el Raval,41,Asia,70-74 years,Male
103,Ciutat Vella,el Raval,33,Asia,75-79 years,Female
104,Ciutat Vella,el Raval,14,Asia,75-79 years,Male
105,Ciutat Vella,el Raval,15,Asia,80-84 years,Female
106,Ciutat Vella,el Raval,7,Asia,80-84 years,Male
107,Ciutat Vella,el Raval,..,Asia,85-89 years,Female
108,Ciutat Vella,el Raval,..,Asia,85-89 years,Male
109,Ciutat Vella,el Raval,..,Asia,90-94 years,Female
110,Ciutat Vella,el Raval,484,Europe,<5 years,Female
111,Ciutat Vella,el Raval,500,Europe,<5 years,Male
112,Ciutat Vella,el Raval,608,Europe,5-9 years,Female
113,Ciutat Vella,el Raval,666,Europe,5-9 years,Male
114,Ciutat Vella,el Raval,674,Europe,10-14 years,Female
115,Ciutat Vella,el Raval,721,Europe,10-14 years,Male
116,Ciutat Vella,el Raval,628,Europe,15-19 years,Female
117,Ciutat Vella,el Raval,637,Europe,15-19 years,Male
118,Ciutat Vella,el Raval,886,Europe,20-24 years,Female
119,Ciutat Vella,el Raval,778,Europe,20-24 years,Male
120,Ciutat Vella,el Raval,1287,Europe,25-29 years,Female
121,Ciutat Vella,el Raval,1258,Europe,25-29 years,Male
122,Ciutat Vella,el Raval,1207,Europe,30-34 years,Female
123,Ciutat Vella,el Raval,1404,Europe,30-34 years,Male
124,Ciutat Vella,el Raval,952,Europe,35-39 years,Female
125,Ciutat Vella,el Raval,1170,Europe,35-39 years,Male
126,Ciutat Vella,el Raval,896,Europe,40-44 years,Female
127,Ciutat Vella,el Raval,1174,Europe,40-44 years,Male
128,Ciutat Vella,el Raval,978,Europe,45-49 years,Female
129,Ciutat Vella,el Raval,1175,Europe,45-49 years,Male
130,Ciutat Vella,el Raval,929,Europe,50-54 years,Female
131,Ciutat Vella,el Raval,1095,Europe,50-54 years,Male
132,Ciutat Vella,el Raval,845,Europe,55-59 years,Female
133,Ciutat Vella,el Raval,950,Europe,55-59 years,Male
134,Ciutat Vella,el Raval,794,Europe,60-64 years,Female
135,Ciutat Vella,el Raval,773,Europe,60-64 years,Male
136,Ciutat Vella,el Raval,697,Europe,65-69 years,Female
137,Ciutat Vella,el Raval,571,Europe,65-69 years,Male
138,Ciutat Vella,el Raval,529,Europe,70-74 years,Female
139,Ciutat Vella,el Raval,466,Europe,70-74 years,Male
140,Ciutat Vella,el Raval,456,Europe,75-79 years,Female
