Price_Category,latitude,longitude
Medium,41.4105473,2.1386027
High,41.3951162,2.1386454
High,41.3881126,2.1656716
High,41.3950384,2.1645573
High,41.4088293,2.1370887
Medium,41.3841635,2.1584914
High,41.3918792,2.1764906
Medium,41.3938431,2.1679491
Medium,41.3860615,2.1624172
High,41.4002343,2.1316714
High,41.3946382,2.1649272
High,41.3910202,2.1734238
Medium,41.3863455,2.1665422
High,41.4010998,2.1276507
High,41.3958081,2.1432104
High,41.3946468,2.1661903
High,41.3914935,2.1417819
High,41.393777,2.1399038
Medium,41.4040119,2.1444911
High,41.3883771,2.1665885
Medium,41.3913041,2.1544357
High,41.4106023,2.1264608
Medium,41.4056565,2.139002
High,41.39639,2.1411
Low,41.3792813,2.1723631
High,41.3927963,2.1614867
High,41.3900343,2.1683844
Very High,41.3950999,2.1764781
Medium,41.3817849,2.1558842
High,41.3920576,2.173002
High,41.3915504,2.178036
High,41.3795061,2.1740408
Medium,41.3887462,2.1256958
Very High,41.3959809,2.140502
Medium,41.4157679,2.1460811
Medium,41.3972441,2.1792046
Medium,41.3911466,2.1737149
Medium,41.3909336,2.1265479
Medium,41.3876734,2.1668985
High,41.3915219,2.1432542
Medium,41.3942613,2.1277491
High,41.3972631,2.1328223
Low,41.3799212,2.1500377
Medium,41.3933155,2.171212
Medium,41.393741,2.1527473
High,41.3932997,2.1539098
Medium,41.3928446,2.1651253
Medium,41.4085093,2.1372962
Medium,41.3960978,2.165251
High,41.3905458,2.1660156
Medium,41.3942426,2.1701805
High,41.3951662,2.1416676
Low,41.3979009,2.1446355
Medium,41.3815419,2.174141
Medium,41.4105681,2.1497313
Medium,41.398982,2.1724936
Medium,41.4017928,2.1618726
Low,41.3810454,2.1752783
Medium,41.3914532,2.1661503
High,41.3996736,2.1396336
High,41.3912885,2.1772931
Medium,41.3959462,2.1240195
Low,41.3811369,2.1436021
Very High,41.3975338,2.1383324
High,41.392244,2.1613898
High,41.395741,2.1611987
High,41.3962967,2.1398462
Medium,41.3841795,2.1640847
Low,41.3996627,2.1639702
Medium,41.389427,2.1391355
Very High,41.4060258,2.1314764
