propertyCode,floor,propertyType,size,exterior,rooms,bathrooms,district,latitude,longitude,status,hasLift,hasParkingSpace,Less_than_Primary,Lower_Secondary,Primary,Tertiary,Upper_Secondary_or_Post_Secondary,Distribucio_P80_20,African_population,American_population,Asian_population,European_population,Oceanian_population,Population_20_44,Population_45_69,Population_less_than_19,Population_greater_than_70,price,Price_Category
98398029,1,flat,125.0,True,3,2,Eixample,41.3991004,2.1752468,good,True,False,2.1914893617021276,84.46551724137932,42.60344827586207,378.7586206896552,157.1206896551724,3.2517241379310344,419.0,3793.0,1644.0,38164.0,11.0,17237,13602,6335,6857,620000.0,Medium
102779385,8,penthouse,237.0,True,4,2,Eixample,41.4086708,2.1781236,good,True,True,5.707692307692308,128.41176470588235,73.13235294117646,289.72058823529414,178.0735294117647,2.9558823529411766,424.0,5478.0,2213.0,43542.0,0.0,20063,16198,6742,8654,910000.0,Medium
97450438,1,flat,139.0,True,3,2,Eixample,41.3944808,2.165264,good,True,False,2.1914893617021276,84.46551724137932,42.60344827586207,378.7586206896552,157.1206896551724,3.2517241379310344,419.0,3793.0,1644.0,38164.0,11.0,17237,13602,6335,6857,950000.0,Medium
100743451,4,penthouse,232.0,True,6,4,Ciutat Vella,41.380646,2.1795227,good,True,False,8.833333333333334,332.1111111111111,259.77777777777777,378.55555555555554,269.44444444444446,3.4555555555555557,2024.0,3090.0,6627.0,12646.0,6.0,14457,6082,2386,1468,1240000.0,Medium
104576206,chalet,chalet,188.0,True,4,2,Sant Martí,41.4131088,2.1807534,good,False,False,7.2,150.0,89.2,242.44,184.18,2.8080000000000003,420.0,3465.0,1458.0,32948.0,0.0,13963,12261,5299,6768,299000.0,Low
104471061,bajo,duplex,134.0,True,3,2,Sarrià-Sant Gervasi,41.4073959,2.1457097,good,True,True,1.3214285714285714,87.07894736842105,33.68421052631579,366.2894736842105,177.02631578947367,2.9473684210526314,202.0,1763.0,671.0,27307.0,0.0,10140,9455,5485,4863,639000.0,Medium
103753359,1,flat,247.0,True,5,5,Sarrià-Sant Gervasi,41.3970505,2.1358008,renew,True,True,0.85,73.74193548387096,28.516129032258064,366.0,172.8548387096774,3.403225806451613,183.0,2456.0,1035.0,43914.0,0.0,14818,15428,9169,8173,1100000.0,Medium
104382268,1,flat,79.0,True,3,1,Sants-Montjuïc,41.3710127,2.1401274,good,True,False,10.461538461538462,158.34615384615384,111.1923076923077,198.8846153846154,174.6153846153846,2.553846153846154,187.0,1396.0,763.0,17324.0,0.0,6764,6567,3069,3270,227000.0,Low
104519776,8,flat,76.0,True,3,1,Sant Andreu,41.4257248,2.1894156,good,True,False,9.3,165.2,103.325,185.6,180.45,2.585,175.0,2698.0,1097.0,25878.0,0.0,9782,9955,4609,5502,338000.0,Low
104060728,1,flat,85.0,True,3,1,Sant Martí,41.3995395,2.2039917,renew,False,False,7.6923076923076925,148.125,87.65,291.475,179.575,2.77,264.0,1964.0,974.0,30874.0,10.0,11682,11885,6389,4130,320000.0,Low
103781120,3,penthouse,82.0,True,2,2,Horta Guinardó,41.4247483,2.1746947,newdevelopment,True,False,7.04,147.1,80.66,226.24,186.32,2.82,297.0,3489.0,825.0,32906.0,0.0,13004,12413,5934,6166,438000.0,Low
99337231,1,flat,51.0,True,2,1,Eixample,41.3890004,2.1580076,good,True,False,3.6444444444444444,103.46153846153847,50.01923076923077,389.5769230769231,184.59615384615384,3.226923076923077,395.0,4421.0,1735.0,36115.0,5.0,17480,12925,5499,6767,530000.0,Low
103163615,1,flat,75.0,True,3,2,Eixample,41.3798718,2.1514911,good,True,False,3.6933333333333334,105.7375,56.7125,305.2375,163.1125,2.9274999999999998,457.0,5103.0,2349.0,49611.0,5.0,21669,17730,7785,10341,295000.0,Low
95673537,2,flat,90.0,True,3,2,Sant Martí,41.395104,2.1933127,good,True,False,8.705882352941176,156.94444444444446,94.27777777777777,322.55555555555554,197.27777777777777,2.7666666666666666,231.0,1139.0,654.0,14305.0,0.0,6215,5087,2678,2349,349000.0,Low
103103032,bajo,flat,81.0,True,2,1,Sant Martí,41.4078209,2.2158496,good,True,False,10.153846153846153,150.71428571428572,85.35714285714286,346.7857142857143,185.07142857142858,2.7857142857142856,98.0,588.0,354.0,12315.0,0.0,4155,4696,2908,1596,769000.0,Medium
99972741,6,duplex,240.0,True,5,3,Sarrià-Sant Gervasi,41.3938607,2.1384446,renew,True,True,0.85,73.74193548387096,28.516129032258064,366.0,172.8548387096774,3.403225806451613,183.0,2456.0,1035.0,43914.0,0.0,14818,15428,9169,8173,1980000.0,High
104390459,1,flat,125.0,True,5,2,Eixample,41.3849692,2.1517481,renew,True,False,3.6444444444444444,103.46153846153847,50.01923076923077,389.5769230769231,184.59615384615384,3.226923076923077,395.0,4421.0,1735.0,36115.0,5.0,17480,12925,5499,6767,530000.0,Low
104312606,1,flat,120.0,True,3,2,Horta Guinardó,41.4261792,2.1593135,renew,False,False,12.904761904761905,154.78571428571428,106.14285714285714,157.76190476190476,168.3095238095238,2.5523809523809526,484.0,3271.0,1052.0,24550.0,0.0,9496,9734,4904,5223,490000.0,Low
99797868,2,duplex,80.0,True,3,2,Horta Guinardó,41.4282762,2.1628809,newdevelopment,True,False,12.904761904761905,154.78571428571428,106.14285714285714,157.76190476190476,168.3095238095238,2.5523809523809526,484.0,3271.0,1052.0,24550.0,0.0,9496,9734,4904,5223,450000.0,Low
98310614,4,penthouse,72.0,True,2,1,Ciutat Vella,41.3850337,2.1764777,good,False,False,6.0,138.07692307692307,100.26923076923077,344.5769230769231,171.73076923076923,3.3307692307692305,659.0,2595.0,1458.0,17232.0,18.0,11125,6032,2598,2207,349000.0,Low
103806722,2,flat,72.0,True,3,1,Eixample,41.3800767,2.1472814,good,True,False,3.6933333333333334,105.7375,56.7125,305.2375,163.1125,2.9274999999999998,457.0,5103.0,2349.0,49611.0,5.0,21669,17730,7785,10341,395000.0,Low
104365918,3,flat,80.0,True,3,2,Horta Guinardó,41.413616,2.1691258,good,False,False,9.236842105263158,127.6842105263158,69.60526315789474,219.89473684210526,166.18421052631578,2.7263157894736842,191.0,2152.0,660.0,22666.0,0.0,8783,8386,3634,4866,231100.0,Low
104446929,3,flat,60.0,True,3,1,Eixample,41.4102866,2.1748773,good,False,False,5.707692307692308,128.41176470588235,73.13235294117646,289.72058823529414,178.0735294117647,2.9558823529411766,424.0,5478.0,2213.0,43542.0,0.0,20063,16198,6742,8654,230000.0,Low
104678413,1,flat,59.0,True,2,1,Nou Barris,41.4415849,2.1808247,renew,True,False,19.15,190.275,140.025,85.0,139.025,2.535,288.0,2756.0,1130.0,22440.0,0.0,8339,8813,4339,5123,150000.0,Low
103378069,2,flat,60.0,True,3,1,Sants-Montjuïc,41.3683903,2.1430898,good,True,False,9.857142857142858,153.85714285714286,111.5,228.42857142857142,165.35714285714286,2.857142857142857,399.0,841.0,539.0,8658.0,0.0,3872,3297,1459,1809,250000.0,Low
103920130,bajo,flat,276.0,True,5,3,Sarrià-Sant Gervasi,41.4009984,2.1152449,good,True,False,3.36,80.6875,39.6875,343.34375,156.9375,3.2,185.0,956.0,468.0,23175.0,0.0,6954,7978,5659,4193,2049000.0,High
104475308,3,flat,80.0,True,2,1,Eixample,41.3922586,2.1542983,renew,True,False,3.6444444444444444,103.46153846153847,50.01923076923077,389.5769230769231,184.59615384615384,3.226923076923077,395.0,4421.0,1735.0,36115.0,5.0,17480,12925,5499,6767,497000.0,Low
103798171,4,flat,115.0,True,3,2,Sant Martí,41.4063658,2.195631,good,True,True,7.6923076923076925,148.125,87.65,291.475,179.575,2.77,264.0,1964.0,974.0,30874.0,10.0,11682,11885,6389,4130,669000.0,Medium
104262225,3,occupied flat,54.0,True,3,1,Sant Martí,41.415759,2.2154561,renew,False,False,22.03846153846154,301.84615384615387,245.92307692307693,133.65384615384616,192.8846153846154,2.6692307692307695,1431.0,2948.0,4411.0,19063.0,0.0,10935,8662,5287,2969,64000.0,Low
101400632,4,flat,185.0,True,4,3,Eixample,41.3885695,2.1667856,good,True,False,2.1914893617021276,84.46551724137932,42.60344827586207,378.7586206896552,157.1206896551724,3.2517241379310344,419.0,3793.0,1644.0,38164.0,11.0,17237,13602,6335,6857,1556123.0,High
