floor,exterior,hasLift,hasParkingSpace,Price_Category,size,rooms,bathrooms,latitude,longitude,Primary,Tertiary,Upper_Secondary_or_Post_Secondary,Distribucio_P80_20,American_population,Asian_population,European_population,Oceanian_population,price,propertyType_duplex,propertyType_flat,propertyType_occupied flat,propertyType_penthouse,propertyType_studio,district_Eixample,district_Gràcia,district_Horta Guinardó,district_Les Corts,district_Nou Barris,district_Sant Andreu,district_Sant Martí,district_Sants-Montjuïc,district_Sarrià-Sant Gervasi,status_newdevelopment,status_renew
5,True,True,False,1,0.4084507042253521,0.0,0.0,0.04241591481957999,0.41303531657176534,-0.5548503364529352,0.5804483519829491,-0.5905855541162061,0.5985041374920428,0.5176056338028169,0.5648351648351648,0.5342887473460722,2.2,0.3055555555555556,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,True,True,True,1,1.9859154929577465,0.5,0.0,0.39355753602091276,0.4990958084101121,-0.10975028777076619,-0.046060982339955564,0.1958849715594153,0.05239263114539249,1.3651911468812876,1.19010989010989,0.8197452229299363,0.0,0.8425925925925926,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,True,True,False,1,0.6056338028169014,0.0,0.0,-0.12707896870705282,0.11439631562494687,-0.5548503364529352,0.5804483519829491,-0.5905855541162061,0.5985041374920428,0.5176056338028169,0.5648351648351648,0.5342887473460722,2.2,0.9166666666666666,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,True,True,False,1,1.9154929577464788,1.5,2.0,-0.6346830501451182,0.5409503808972591,2.6114704239392927,0.5790194996320825,3.625517060193372,0.9747683711719365,0.16398390342052313,6.0406593406593405,-0.8201698513800425,1.2,1.4537037037037037,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,True,False,False,0,1.295774647887324,0.5,0.0,0.5563894463790435,0.5777672076858549,0.1245100162425556,-0.3787472406181015,0.42509300203848877,-0.2205919796308083,0.35261569416498995,0.36043956043956044,0.25743099787685775,0.0,-0.28888888888888886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,True,True,True,1,0.5352112676056338,0.0,0.0,0.34678096943315256,-0.470577500961028,-0.6848894977020245,0.4927101487161614,0.15657752409235928,0.03667627056182717,-0.5035211267605634,-0.5043956043956044,-0.04198513800424628,0.0,0.34074074074074073,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,True,True,True,1,2.1267605633802815,1.0,3.0,-0.032795696952295006,-0.7670057572099603,-0.7602381991971038,0.4906732891832231,0.0,0.8781698527750968,-0.15492957746478872,-0.1043956043956044,0.8394904458598726,0.0,1.1944444444444444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5,True,True,False,0,-0.23943661971830985,0.0,-1.0,-0.9881324963038391,-0.6375739844111031,0.44514966354706487,-0.6852213873323144,0.06608256828299242,-0.689749302257259,-0.6881287726358148,-0.4032967032967033,-0.5718683651804671,0.0,-0.4222222222222222,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,True,True,False,0,-0.28169014084507044,0.0,-1.0,1.0192752915969463,0.8368999914741201,0.33044725036739125,-0.7786975717439294,0.2850864399281133,-0.6322406110757484,-0.03319919517102616,-0.03626373626373627,-0.1178343949044586,0.0,-0.21666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,True,False,False,0,-0.15492957746478872,0.0,-1.0,0.05852666106528798,1.2729491902661423,0.10191159409080376,-0.03371619757174367,0.25224307750275726,-0.2907383831954173,-0.4024144869215292,-0.17142857142857143,0.1473460721868365,2.0,-0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
7,True,True,False,0,-0.19718309859154928,-0.5,0.0,0.9834471346648314,0.39651904934986476,0.0,-0.492737306843267,0.5054184827130733,-0.19844048376830115,0.3646881287726358,-0.33516483516483514,0.2552016985138004,0.0,-0.03148148148148148,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,True,True,False,0,-0.6338028169014085,-0.5,-1.0,-0.3281569320973183,-0.10268146280100086,-0.4467309923427953,0.6565705128205132,0.4407134495744158,0.5527224208000782,0.8335010060362174,0.6648351648351648,0.4255307855626327,1.0,0.1388888888888889,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,True,True,False,0,-0.29577464788732394,0.0,0.0,-0.6630887430247051,-0.29762487042911734,-0.34914562224456647,0.06312258554083905,-0.3656813269857258,0.0,1.1765593561368208,1.3395604395604395,1.1418789808917198,1.0,-0.2962962962962963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,True,True,False,0,-0.08450704225352113,0.0,0.0,-0.10421352334060656,0.9534831195133355,0.19854212321997897,0.1849797645327447,0.9167216449211508,-0.29689157649055853,-0.8174044265593562,-0.5230769230769231,-0.7321125265392782,0.0,-0.1962962962962963,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,True,True,False,1,-0.2112676056338028,-0.5,-1.0,0.3623743813083628,1.6276824724442138,0.0684825917372906,0.35547343109429214,0.45855301535019755,-0.26173047194689525,-1.0945674044265594,-0.8527472527472527,-0.8377388535031847,0.0,0.5814814814814815,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,True,True,True,2,2.028169014084507,1.0,1.0,-0.14983067389247584,-0.6879155429711502,-0.7602381991971038,0.4906732891832231,0.0,0.8781698527750968,-0.15492957746478872,-0.1043956043956044,0.8394904458598726,0.0,2.824074074074074,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5,True,True,False,0,0.4084507042253521,1.0,0.0,-0.47606319551228937,-0.28993662432148043,-0.4467309923427953,0.6565705128205132,0.4407134495744158,0.5527224208000782,0.8335010060362174,0.6648351648351648,0.4255307855626327,1.0,0.1388888888888889,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,True,False,False,0,0.3380281690140845,0.0,0.0,1.0359474006702047,-0.0636150013536605,0.3715305569981106,-0.9745782087669506,-0.17060962811784688,-0.6924540026067715,0.2550301810865191,-0.08571428571428572,-0.1883227176220807,0.0,0.06481481481481481,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,True,True,False,0,-0.22535211267605634,0.0,0.0,1.1128871293815226,0.0431050343054449,0.3715305569981106,-0.9745782087669506,-0.17060962811784688,-0.6924540026067715,0.2550301810865191,-0.08571428571428572,-0.1883227176220807,0.0,-0.009259259259259259,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,True,False,False,0,-0.3380281690140845,-0.5,-1.0,-0.47369666594532395,0.44985812643126544,0.2858952741898058,0.339931439972831,-0.042192252899500036,0.744418058071781,-0.08501006036217304,0.36043956043956044,-0.5767515923566879,3.6,-0.1962962962962963,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,True,True,False,0,-0.3380281690140845,0.0,-1.0,-0.6555708839818096,-0.4235595382864174,-0.34914562224456647,0.06312258554083905,-0.3656813269857258,0.0,1.1765593561368208,1.3395604395604395,1.1418789808917198,1.0,-0.1111111111111111,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,True,False,False,0,-0.22535211267605634,0.0,0.0,0.5749988075626139,0.22992343165015716,-0.16117394189317358,-0.5373852678052746,-0.2503838388925031,-0.37137760058963565,-0.30784708249496984,-0.5164835164835165,-0.28832271762208067,0.0,-0.4146296296296296,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,True,False,False,0,-0.5070422535211268,0.0,-1.0,0.4528418534512916,0.4019815930823746,-0.10975028777076619,-0.046060982339955564,0.1958849715594153,0.05239263114539249,1.3651911468812876,1.19010989010989,0.8197452229299363,0.0,-0.4166666666666667,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,True,True,False,0,-0.5211267605633803,-0.5,-1.0,1.6011884014373094,0.5799001724620239,0.8655195684120971,-1.4865618101545255,-1.269812175466598,-0.7245385105028646,-0.004024144869215292,0.0,-0.3003184713375796,0.0,-0.5648148148148148,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
6,True,True,False,0,-0.5070422535211268,0.0,-1.0,-1.0843493511310387,-0.5489527382271834,0.449635702683889,-0.4773375906654051,-0.2814280482741495,-0.12987632990815706,-0.9673038229376257,-0.6494505494505495,-1.0318471337579618,0.0,-0.37962962962962965,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,True,True,False,2,2.535211267605634,1.0,1.0,0.11205425773513385,-1.38194279286757,-0.5973637752339702,0.3312543115342165,-0.5974616275303816,0.5030235518777848,-0.9094567404426559,-0.7274725274725274,-0.26130573248407646,0.0,2.9518518518518517,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,True,True,False,0,-0.22535211267605634,-0.5,-1.0,-0.20861233310488156,-0.21364648726427238,-0.4467309923427953,0.6565705128205132,0.4407134495744158,0.5527224208000782,0.8335010060362174,0.6648351648351648,0.4255307855626327,1.0,0.07777777777777778,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,True,True,True,1,0.2676056338028169,0.0,0.0,0.30898620808593685,1.0228358858609612,0.10191159409080376,-0.03371619757174367,0.25224307750275726,-0.2907383831954173,-0.4024144869215292,-0.17142857142857143,0.1473460721868365,2.0,0.3962962962962963,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,True,False,False,0,-0.5915492957746479,0.0,-1.0,0.6536262937947138,1.6159107804467228,2.409474050583959,-1.1442127271183562,0.7518231024387776,-0.4767541497331447,0.0925553319919517,3.6054945054945056,-0.47956475583864117,0.0,-0.7240740740740741,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
8,True,True,False,2,1.2535211267605635,0.5,1.0,-0.34396681721966005,0.15991551903888065,-0.5548503364529352,0.5804483519829491,-0.5905855541162061,0.5985041374920428,0.5176056338028169,0.5648351648351648,0.5342887473460722,2.2,2.0391166666666667,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,True,True,False,0,0.1267605633802817,0.5,0.0,-0.04790112676179604,0.41521016284423845,-0.5548503364529352,0.5804483519829491,-0.5905855541162061,0.5985041374920428,0.5176056338028169,0.5648351648351648,0.5342887473460722,2.2,-0.027777777777777776,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,True,True,False,0,0.14084507042253522,0.5,0.0,0.7649926068884668,-0.15561967413203395,0.11118007137884947,-0.779903815830968,-0.6943160330500537,-0.3408429571701377,-1.0010060362173039,-1.0032967032967033,-1.0530254777070063,0.0,-0.22592592592592592,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,True,True,False,1,0.323943661971831,0.0,0.0,-0.4895725937532445,0.05432927531549751,-0.4467309923427953,0.6565705128205132,0.4407134495744158,0.5527224208000782,0.8335010060362174,0.6648351648351648,0.4255307855626327,1.0,0.6851851851851852,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,True,True,False,0,-0.08450704225352113,0.5,-1.0,0.30847621179144075,1.0657225380785091,0.6002918503622346,-0.49237375827814595,0.7186188239428132,-0.6507001909611713,-0.6881287726358148,-0.5648351648351648,-0.4867303609341826,0.0,-0.1388888888888889,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,True,True,False,0,0.056338028169014086,-0.5,0.0,0.052568143209887404,-0.5065686639652976,-0.7602381991971038,0.4906732891832231,0.0,0.8781698527750968,-0.15492957746478872,-0.1043956043956044,0.8394904458598726,0.0,-0.1111111111111111,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7,True,True,False,1,2.323943661971831,0.5,1.0,-0.02235361455301488,-0.17513046833982931,-0.3670259150402625,0.08265843451066991,-1.0069610114211303,0.03640639366291731,0.7092555331991952,0.36923076923076925,0.8369426751592357,2.8,1.1481481481481481,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,True,True,False,0,-0.11267605633802817,0.0,-1.0,0.26666018469939723,-0.08100180539163675,-0.3670259150402625,0.08265843451066991,-1.0069610114211303,0.03640639366291731,0.7092555331991952,0.36923076923076925,0.8369426751592357,2.8,0.07962962962962963,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,True,True,False,0,-0.22535211267605634,0.5,-1.0,1.1944608531985332,0.24522513547917285,0.9876239461675306,-1.2290286975717442,0.35264992834598896,-0.4014958625079572,-0.23038229376257546,-0.23406593406593407,-0.8144904458598726,0.0,-0.5185185185185185,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,True,False,False,0,0.014084507042253521,-0.5,-1.0,0.12173684925012719,-0.22922341235473007,-0.3670259150402625,0.08265843451066991,-1.0069610114211303,0.03640639366291731,0.7092555331991952,0.36923076923076925,0.8369426751592357,2.8,0.046296296296296294,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
